question,answer,intent
영업시간은 어떻게 되나요?,주중에는 오전 9시부터 오후 8시까지 영업합니다.,영업시간문의
매장 영업시간은 어떻게 되나요?,주중에는 오전 9시부터 오후 8시까지 영업합니다.,영업시간문의
몇시에 열어?,주중에는 오전 9시부터 오후 8시까지 영업합니다.,영업시간문의
몇시에 시작 하나요?,주중에는 오전 9시부터 오후 8시까지 영업합니다.,영업시간문의
아침 몇시에 문 여나요?,주중에는 오전 9시부터 오후 8시까지 영업합니다.,영업시간문의
문여는 시간이 어떻게 되나요?,주중에는 오전 9시부터 오후 8시까지 영업합니다.,영업시간문의
영업 시간은?,주중에는 오전 9시부터 오후 8시까지 영업합니다.,영업시간문의
몇시에 여노?,주중에는 오전 9시부터 오후 8시까지 영업합니다.,영업시간문의
오픈시간 알려줘,주중에는 오전 9시부터 오후 8시까지 영업합니다.,영업시간문의
오픈시간이 언제야?,주중에는 오전 9시부터 오후 8시까지 영업합니다.,영업시간문의
주중에는 언제 닫나요?,주중에는 오전 9시부터 오후 8시까지 영업합니다.,영업시간문의
언제 마감하나요?,주중에는 오전 9시부터 오후 8시까지 영업합니다.,영업시간문의
닫는 시간은 언제인가요?,주중에는 오전 9시부터 오후 8시까지 영업합니다.,영업시간문의
언제열어?,주중에는 오전 9시부터 오후 8시까지 영업합니다.,영업시간문의
언제 열어?,주중에는 오전 9시부터 오후 8시까지 영업합니다.,영업시간문의
언제닫니?,주중에는 오전 9시부터 오후 8시까지 영업합니다.,영업시간문의
언제 닫니?,주중에는 오전 9시부터 오후 8시까지 영업합니다.,영업시간문의
영업시간,주중에는 오전 9시부터 오후 8시까지 영업합니다.,영업시간문의
마감시간은?,주중에는 오전 9시부터 오후 8시까지 영업합니다.,영업시간문의
휴무는 언제야?,주중에는 오전 9시부터 오후 8시까지 영업합니다.,영업시간문의
토요일 영업해?,주중에는 오전 9시부터 오후 8시까지 영업합니다.,영업시간문의
일요일 영업해?,주중에는 오전 9시부터 오후 8시까지 영업합니다.,영업시간문의
문닫는 시간은?,주중에는 오전 9시부터 오후 8시까지 영업합니다.,영업시간문의
몇시까지 접수 받아?,주중에는 오전 9시부터 오후 8시까지 영업합니다.,영업시간문의
매장위치,정자역 4번 출구에 위치하고 있습니다. 자세한 주소는 아래 링크를 통해 확인해주세요.,매장위치문의
매장 어디야,정자역 4번 출구에 위치하고 있습니다. 자세한 주소는 아래 링크를 통해 확인해주세요.,매장위치문의
어디 있음,정자역 4번 출구에 위치하고 있습니다. 자세한 주소는 아래 링크를 통해 확인해주세요.,매장위치문의
어디로 가야해?,정자역 4번 출구에 위치하고 있습니다. 자세한 주소는 아래 링크를 통해 확인해주세요.,매장위치문의
어디에 있지?,정자역 4번 출구에 위치하고 있습니다. 자세한 주소는 아래 링크를 통해 확인해주세요.,매장위치문의
어디,정자역 4번 출구에 위치하고 있습니다. 자세한 주소는 아래 링크를 통해 확인해주세요.,매장위치문의
매장 주소,정자역 4번 출구에 위치하고 있습니다. 자세한 주소는 아래 링크를 통해 확인해주세요.,매장위치문의
주소좀,정자역 4번 출구에 위치하고 있습니다. 자세한 주소는 아래 링크를 통해 확인해주세요.,매장위치문의
주소 알려줘,정자역 4번 출구에 위치하고 있습니다. 자세한 주소는 아래 링크를 통해 확인해주세요.,매장위치문의
